method,FEM,FEM,PINNs,PINNs,Add,Add,Mult3,Mult3,Mult100,Mult100
"29 : 0.09,0.58,0.93",0.0773126976099802,0.018641369531771288,0.007494628045968417,0.00749462804782635,0.004369914442298413,0.001191353979882203,0.004379649021010037,0.0011706536148783351,0.0043706030359692925,0.0011909333996910259
"30 : 0.32,0.67,0.13",0.03861013491438681,0.009243902164369615,0.00428867329796123,0.004288673298066691,0.0006964742773308569,0.0002269818698592526,0.0007361253677672386,0.00023499402835745764,0.000697151025635045,0.00022716601706406904
"31 : 0.72,0.29,0.18",0.026460627019916305,0.0063564630367614295,0.004999896363077554,0.004999896362982771,0.0005970340730552415,0.0001944135369921589,0.0006137619449533525,0.00019398312994286707,0.0005974820476960011,0.00019439495503217042
"32 : 0.59,0.02,0.83",0.07200302587188691,0.017370879052059366,0.0055022416049407535,0.005502241607985064,0.0038018987745407013,0.00119985697524433,0.003663754926246275,0.0011633554476136105,0.0037982395115791407,0.0011989857157217992
"33 : 0.0,0.68,0.27",0.049081525272746604,0.011781885745058493,0.008778230724059605,0.008778230724288813,0.0014507487580496415,0.0004428191532263327,0.0014688660951758404,0.000446527788856108,0.0014509164921235132,0.0004428258071923602
"34 : 0.74,0.96,0.25",0.035998646851966035,0.00862445297368822,0.005046488732916449,0.005046488732922074,0.002726970683782767,0.0007473083023159272,0.002600726348375568,0.0007114794846442679,0.00272451742639178,0.0007464257915360344
"35 : 0.58,0.59,0.57",0.05552243491089267,0.013372728701854594,0.005962256997172073,0.005962256996316994,0.002934273846056456,0.0008851269627019253,0.00306205394028128,0.0008849321968667332,0.002935413843301942,0.0008850554430712332
"36 : 0.22,0.95,0.45",0.050663399823799506,0.012170483115146792,0.004576649501166053,0.004576649500950583,0.003086360138034,0.0008916525352290896,0.003044203260866871,0.0008580014056754321,0.0030853498770432265,0.0008908195111091482
"37 : 0.85,0.7,0.3",0.03427729884297911,0.008226874035491286,0.003704730872335683,0.003704730872468332,0.001953431306459021,0.000583893626937072,0.0019370607049011479,0.0005669712355896994,0.0019529072173055057,0.0005834747943972597
"38 : 0.81,0.4,0.88",0.06290420442752441,0.015169553811415527,0.0032254132576118827,0.0032254132720062863,0.0013983126680891117,0.0005268108096690574,0.0014168619931457503,0.0005371814440890146,0.0013990574307192868,0.0005271644614364971
"39 : 0.58,0.88,0.69",0.05575579197497463,0.013421232153330246,0.0029935364763568873,0.002993536468664939,0.0019249669022858866,0.0004512294087427154,0.001947868375158497,0.0004651212325517651,0.0019258151647600008,0.00045113896886156033
"40 : 0.73,0.5,0.96",0.06664913173688751,0.016071507406681368,0.005763356275659458,0.005763356289738142,0.003775214500386066,0.000808019891169625,0.0035691261175339606,0.0007801103784268498,0.0037732538413635646,0.0008071093441617153
"41 : 0.64,0.42,0.61",0.05736024826026591,0.013825845525556057,0.005358229884506144,0.005358229884102448,0.002747744539573422,0.0008698931800432659,0.0028872552443565333,0.0008733761067284998,0.0027490763356410835,0.0008699051142098754
"42 : 0.02,0.3,0.66",0.08162638033500805,0.019687136521590872,0.011173012352991899,0.01117301235272671,0.003278935684128884,0.0010201702661725692,0.0031125396131590753,0.000961264642153033,0.003275113247807587,0.001018505980851944
"43 : 0.29,0.62,0.43",0.05585149265113297,0.013438738786735393,0.005455222922822726,0.005455222923145972,0.001577780030652882,0.000597543753998482,0.0017266603102347768,0.0005965482372342635,0.0015805514540104858,0.0005974266847816013
"44 : 0.14,0.3,0.57",0.07834808998055662,0.018894227939269103,0.006607022725590242,0.0066070227257487395,0.0021410940546967685,0.0007460946658455265,0.002065932198726838,0.0007126248441974578,0.0021393679467053054,0.0007451238157507048
"45 : 0.59,0.57,0.65",0.05900796132899961,0.014217984293334911,0.005641166582624115,0.005641166581385066,0.003236027819377311,0.0009303765390768022,0.0033396576689515094,0.0009345157099611943,0.0032373329351141123,0.0009305084477167167
"46 : 0.65,0.43,0.9",0.0680254019687066,0.016404664049770867,0.004173783797048424,0.00417378381005343,0.0018394475426613784,0.0006365675316078481,0.0019022290306459856,0.000650699498867978,0.0018414208657703737,0.0006370097789587637
"47 : 0.37,0.44,0.89",0.07593695318576184,0.01831347224790721,0.006640901176576001,0.006640901176461153,0.004249460628708446,0.001165431541716173,0.004342678768329019,0.0011640573972684328,0.00425120019915985,0.0011654501096325595
"48 : 0.81,0.7,0.1",0.028174922027530008,0.006738753007994642,0.003801996226320499,0.003801996226388031,0.0010521598617878423,0.00030391076207686945,0.0009512474195215565,0.0002765690082860935,0.0010497244554449794,0.00030318464200601824
"49 : 0.92,0.71,1.0",0.06043967657997895,0.014568241998591842,0.03957407038616134,0.03957407047557328,0.012429430368529035,0.003452936479593486,0.011504433950293214,0.0033387232861332495,0.012425333116147184,0.003450810741401267
"50 : 0.15,0.87,0.16",0.041552001653148936,0.009947668172304178,0.005345297733258664,0.005345297733385856,0.0012158816126721925,0.00037668342502453054,0.001255543137671172,0.00038079684065642395,0.001216841270505546,0.00037678147490409264
"51 : 0.62,0.12,0.85",0.07106053750816749,0.01714278265385729,0.005459551938628646,0.005459551939787383,0.004224026501745221,0.0012521048368600816,0.004167249290686872,0.0012254637389685413,0.004222201115138597,0.0012515169464415643
"52 : 0.81,0.57,0.41",0.040294824199870814,0.009693127913987694,0.0035022578534177878,0.0035022578534621806,0.001965262706152913,0.0006237635247436175,0.002040800461284393,0.000621153507015239,0.001966055226970092,0.0006236654574470782
"53 : 0.07,0.7,0.45",0.05809404757656547,0.013975458074652124,0.005049421619358462,0.005049421619867257,0.002019007536255748,0.0006958280992778778,0.002049555503133182,0.0006762466776758229,0.0020197149354105755,0.0006952757831325847
"54 : 0.72,0.87,0.98",0.062133257861352875,0.014971293000789575,0.04310134961213092,0.0431013497069768,0.013380188397162993,0.0037910066939997314,0.012340368177891652,0.003676347909094105,0.013373211178247897,0.003788573124260395
"55 : 0.86,0.01,0.36",0.03530933885116498,0.008510935862063494,0.00580614865115464,0.005806148651198427,0.0013894093603913887,0.00041400451753362716,0.0013946219789350463,0.0004182084096780783,0.001389728502653961,0.0004141701708531662
"56 : 0.73,0.17,0.52",0.05134377345003412,0.012381302313435082,0.004894137632567097,0.004894137632725021,0.001346620482005923,0.0005238900412487866,0.0013897075887054108,0.0005243472424921552,0.001347263409820106,0.0005238833860547493
"57 : 0.05,0.2,0.02",0.03890159022140164,0.009303849513779598,0.05712736934574829,0.05712736934597102,0.006577837334342267,0.0016370514685542616,0.006675269413601482,0.001662883466342015,0.006580528497564796,0.0016377583959215473
